,No,Trans,Form,W-ord,Ptcl,Tns,Mood,SenT,Pfv,S-anim,S-Numb,A-rform,A-rstat,A-sp,A-uniq,A-fam,O-anim,O-Numb,O-rform,O-rstat,O-sp,O-uniq,O-fam,Comment
uꞩti kona kals.,351,0,A,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
<ū>sьŋ <ō>tьr <ō>jka man̩ piɧ n<ē>t<ē> nupil l<ā>vi.,352,0,A,AxV,,npst,ind,,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
"""Sunьn t<ā>len"".",353,0,A,V,,npst,imp,,pfv,2,sg,zero,top,sp,uniq,sap,,,,,,,,
"n<ē>t<ē> at kasaꞩi,",354,0,A,AV,,npst,ind,neg,npfv,H,sg,possnp,top,sp,uniq,strg,,,,,,,,
toɧa l<ā>vi:,355,0,A,V,,npst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
"""am amki āŋkom ta<ł>tom ju<ń>an pa<ł>t at t<ā>leɧom"".",356,0,A,AxV,,npst,ind,neg,pfv,1,sg,pron,top,sp,uniq,sap,,,,,,,,
Humite nupil l<ā>vi:,357,0,A,V,,npst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
naŋn n<ē>k<ē> <ē>ri,358,0,A,AV,,npst,irr,,npfv,H,sg,barenp,typid,sp,nuniq,nfam,,,,,,,,
"husah tall nos a<ł>nt<ē>ln,",359,1,AP,V,,npst,imp,,npfv,2,sg,zero,top,sp,uniq,sap,1,sg,zero,top,sp,uniq,sap,
"tuvi<ə>l am amki jom<ē>ɧom.""",360,0,A,AxV,,npst,ind,,pfv,1,sg,pron,top,sp,uniq,sap,,,,,,,,
Humit<ē>n n<ɔ̄>ŋha almaves,361,1,P,AV,,pst,ind,,pfv,H,sg,possnp,act,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg,
husaɧk<ē>m tall nos a<ł>ntav<ē>s.,362,X,P,V,,pst,ind,,pfv,,,,,,,,H,sg,zero,top,sp,uniq,strg,
Jola taratav{<ē>}s,363,X,P,V,,pst,ind,,pfv,,,,,,,,H,sg,zero,top,sp,uniq,strg,
i <ē>la jommi{<ɣ>}tas.,364,0,A,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
H<ō>sa minast,365,0,A,V,,pst,ind,,npfv,H,pl,zero,act,sp,uniq,strg,,,,,,,,
vat<'>i minast,366,0,A,V,,pst,ind,,npfv,H,pl,zero,act,sp,uniq,strg,,,,,,,,
akmatert p<ā>ɧьl k<ē>laŋkve ti pats.,367,0,INF-A,APV,ti,pst,ind,,pfv,I,sg,barenp,ref,sp,uniq,w_prcp,,,,,,,,
n<ē> tuv <ł̩>ul[i]s̥,368,0,A,AxV,,pst,ind,,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
va<s>sьɧ <ē>lal̩e at minь.,369,0,A,V,,npst,ind,neg,npfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
Patьrtaŋkve pats.,370,0,INF-A,PV,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
"""am ti ꞩiri<ə>l p<ā>ɧьl at min<ē>ɧom.",371,0,A,AxV,,npst,ind,neg,pfv,1,sg,pron,act,sp,uniq,sap,,,,,,,,
nanan n<ē>k<ē> <ē>ri,372,0,A,AV,,npst,irr,,npfv,H,sg,barenp,typid,sp,nuniq,nfam,,,,,,,,
p<ā>ɧ<ə>ln min<ē>n,373,0,A,V,,npst,imp,,pfv,2,sg,zero,top,sp,uniq,sap,,,,,,,,
"n<ē> k<ē>t<ē>na,",374,1,A,PV,,npst,imp,,pfv,2,sg,zero,top,sp,uniq,sap,H,sg,barenp,typid,sp,nuniq,nfam,
"masne sov [v]os totь<i>.""",375,1,A,PV,,npst,opt,,pfv,H,sg,zero,ref,sp,nuniq,nfam,,,,,,,,
<ū>sьŋ <ō>tьr <ō>jka piɧane jot p<ā>ɧ{<ə>}ln minast.,376,0,A,AxV,,pst,ind,,pfv,H,pl,barenp,act,sp,uniq,strg,,,,,,,,
rɔ̄ŋheɧьt toha:,377,0,A,V,,npst,ind,,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,
"""uj sa<ł̩>i va<o̯><ł̩>i oo<u̯>"".",378,,,,,,,,,,,,,,,,,,,,,,,
pāɧlьŋ mir ti r<ō>hsij h<o̯>lsьt.,379,1,A,APV,,pst,ind,,pfv,H,pl,barenp,uniq,sp,uniq,nfam,,,,,,,,
v<ō>rt<ō>lnut palt hajteɧit.,380,0,A,V,,npst,ind,,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,
v<ō>rt<ō>lnut a<ń>iɧ lav<ē>t,381,X,P,PV,,npst,ind,,pfv,,,,,,,,A,pl,barenp,fam,sp,uniq,strg,
i sipiɧlav<ē>t.,382,X,P,V,,npst,ind,,pfv,,,,,,,,A,pl,barenp,fam,sp,uniq,strg,
"ti jujupalt koln t<ū>lv<ē>st,",383,X,P,V,,pst,ind,,pfv,,,,,,,,A,pl,barenp,fam,sp,uniq,strg,
pasa[ŋ]<n>[ь]n̥ <ū>n<t>tav<ē>s<t>.,384,X,P,V,,pst,ind,,pfv,,,,,,,,A,pl,barenp,fam,sp,uniq,strg,
<ū>sьŋ <ō>tьr <ō>jka n<ē>t<ē> nupil l<ā>vi:,385,0,A,AxV,,npst,ind,,pfv,H,sg,barenp,act,sp,uniq,strg,,,,,,,,
"""man n<ē> ho<ɔ̄>ŋ<n>tsuva v<ō>rtolnut v<ō>ŋha ki<e>virt.",386,1,A,APV,,pst,ind,,pfv,1,pl,pron,act,sp,uniq,sap,H,sg,barenp,ref,sp,uniq,strg,
"moꞩ totnova hu<>>l̩tь<ə>s,",387,0,A,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
naŋ minen,388,0,A,AV,,npst,imp,,pfv,2,sg,pron,act,sp,uniq,sap,,,,,,,,
"masne sov tav<ē>n toten"".",389,1,A,PxV,,npst,imp,,pfv,2,sg,zero,top,sp,uniq,sap,I,sg,barenp,typid,sp,nuniq,nfam,
"<ū>sьŋ<n> <ō>tьr <ō>jka <ē>ka ti l<ā>tьŋ h<ŏ>ls,",390,1,A,APV,,pst,ind,,pfv,H,sg,barenp,top,sp,uniq,strg,I,sg,demnp,ref,sp,uniq,w_prcp,
{ala[va]} supiɧ tolmatь<i>.,391,?,A,?,,npst,ind,,,,,,,,,,,,,,,,,
masne sovt almajs,392,1,A,PV,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,I,sg,barenp,ref,sp,uniq,strg,
i hajtьl ta nujhata<ɒ>s.,393,0,A,V,ta,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
Man̩e pa<ł>t <j>oht<s̥>,394,0,A,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,,,,,,,,
"mastaste,",395,1,AP,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg,
pun<ł>taste,396,1,AP,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg,
i p<ā>ɧl nupil jommiɧtas<s>eɧ<a>.,397,0,A,V,,pst,ind,,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,
P<ā>ɧ<ə>ln johtas<s>en<ɧ><a>,398,0,A,V,,pst,ind,,pfv,H,du,zero,top,sp,uniq,strg,,,,,,,,
koln man̩e t<ū>lste.,399,1,AP,PV,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,possnp,top,sp,uniq,strg,
Kasap s<ā>jin p<ā>ln <ū>nt<t>aste.,400,1,AP,V,,pst,ind,,pfv,H,sg,zero,top,sp,uniq,strg,H,sg,zero,top,sp,uniq,strg,
<ū>sьŋ <ō>tьr <ō>jka v<ō>rt<ō>lnutanьl ji<e>kaŋk[v]e patsan<ə>l,401,1,INF-AP,APxV,,pst,ind,,pfv,H,sg,barenp,fam,sp,uniq,strg,A,pl,possnp,fam,sp,uniq,strg,
"Hurom et jiksьt,",402,0,A,V,,pst,ind,,pfv,H,pl,zero,act,sp,uniq,strg,,,,,,,,
n̩ilьt etanьl ekaŋkve patsьt.,403,0,INF-A,PV,,pst,ind,,pfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,
et kotilkemeɧ jemtom,404,,,,,,,,,,,,,,,,,,,,,,,
kasьŋ <ē>t v<ō>rt<ō>lnut n̩<ē>vil̩ pajteɧ[ь]t̥,405,1,A,PV,,npst,ind,,npfv,H,pl,zero,top,sp,uniq,strg,,,,,,,,
ma<ń>[j]anьl n̩e<ɔ̄>vl'i<ə>l kos majlьjanьl,406,1,AP,PxV,,npst,ind,,npfv,H,pl,zero,top,sp,uniq,strg,H,sg,possnp,fam,sp,uniq,strg,
tav at t<ē>ɧ.,407,X,A,AV,,npst,ind,neg,npfv,H,sg,pron,top,sp,uniq,strg,,,,,,,,
